nombre;tipo;opiniones;rank
Museo del Prado;Museos especializados;49563;2
Parque del Retiro;Edificios con valor arquitectónico;47398;1
Palacio Real de Madrid;Edificios con valor arquitectónico;29948;5
Mercado San Miguel;Mercadillos;26483;10
Plaza Mayor;Edificios con valor arquitectónico;22294;9
Estadio Santiago Bernabéu;Campos y estadios;19757;4
Museo Nacional Thyssen-Bornemisza;Museos especializados;14587;3
Museo Nacional Centro de Arte Reina Sofía;Museos de arte;14202;6
Gran Vía;Puntos emblemáticos y de interés;11595;7
Templo de Debod;Lugares históricos;11580;8
Puerta del Sol;Puntos emblemáticos y de interés;9450;78
Estación de Atocha;Edificios con valor arquitectónico;5826;70
Museo Sorolla;Museos de arte;5734;11
Plaza de Cibeles;Monumentos y estatuas;4971;35
Palacio de Cibeles;Edificios con valor arquitectónico;4599;30
Paseo del Prado;Puntos emblemáticos y de interés;4106;23
Puerta de Alcalá;Monumentos y estatuas;3718;50
Museo Arqueológico Nacional;Museos de arte;3685;12
Palacio De Cristal;Edificios con valor arquitectónico;3316;59
Catedral de Sta María la Real de la Almudena;Iglesias y catedrales;3242;66
Plaza de Oriente;Puntos emblemáticos y de interés;2938;33
Zoo Aquarium de Madrid;Acuarios;2658;129
Plaza de Santa Ana;Puntos emblemáticos y de interés;2624;53
Plaza de Toros de Las Ventas;Edificios con valor arquitectónico;2316;75
Parque de Atracciones;Parques temáticos;2121;253
Parque Madrid Río;Parques;1999;26
Museo Cerralbo;Lugares históricos;1878;13
CaixaForum;Museos especializados;1829;39
Museo Naval;Museos de historia;1675;21
Barrio de Salamanca;Paseos por zonas históricas;1666;27
Edificio Metrópolis;Puntos emblemáticos y de interés;1662;28
Fuente de Cibeles;Fuentes;1636;57
Real Basílica de San Francisco el Grande;Lugares sagrados y religiosos;1580;19
Plaza de España;Monumentos y estatuas;1547;105
Mercado de San Antón;Mercadillos;1521;93
Sobrino de Botín;Lugares históricos;1509;74
Real Jardín Botánico;Jardines;1466;132
Cava Baja Gallery;Galerías de arte;1433;41
Parque de El Capricho;Jardines;1397;14
Teleferico;Tranvías;1387;174
El Rastro;Mercadillos;1316;125
La Latina;Barrios;1230;37
Ermita De San António De La Florida;Lugares sagrados y religiosos;1035;25
Faunia;Parajes naturales;1019;199
Jardines de Sabatini;Jardines;987;71
Museo Lázaro Galdiano;Museos de arte;983;20
Círculo de Bellas Artes;null;970;100
Museo de Cera de Madrid;Museos especializados;963;374
Museo del Romanticismo;Museos especializados;945;45
Matadero Madrid;Galerías de arte;931;55
Monasterio de Las Descalzas Reales;Edificios con valor arquitectónico;781;76
Gay Madrid & the Chueca District;Barrios;775;65
Fundación Mapfre Recoletos;Puntos emblemáticos y de interés;724;24
Casa Museo Lope de Vega;Museos de historia;631;17
El Oso y el Madroño;Puntos emblemáticos y de interés;582;108
Teatro Real;Edificios con valor arquitectónico;557;88
Malasaña;Barrios;552;38
Mercado de San Anton;Mercados de agricultores;549;64
Madrid Xanadú;Esquí y snowboard;541;106
Fuente de Neptuno;Fuentes;540;87
Teatro Lara;Teatros;529;101
Teatro Lope de Vega;Teatros;526;99
Iglesia de San Antonio de Los Alemanes;Iglesias y catedrales;511;15
Plaza de la Villa;Puntos emblemáticos y de interés;508;82
Puente de Toledo;Puntos emblemáticos y de interés;490;22
Museo Nacional de Ciencias Naturales;Museos de ciencias;486;166
Casa de Campo;Lugares históricos;475;69
Parque del Oeste;Parques;466;51
Biblioteca Nacional de España;Bibliotecas;425;62
